"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","LineProvider","OverUnder","Spread","FormattedSpread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401520327","Vanderbilt","20","Georgia","37","DraftKings","55","32.5","Georgia -32.5","31.5","57","",""
"401520327","Vanderbilt","20","Georgia","37","Bovada","55.0","32.5","Georgia -32.5","32.0","57.0","2500","-20000"
"401520321","Michigan","52","Indiana","7","William Hill (New Jersey)","45.5","-33","Michigan -33","","","",""
"401520321","Michigan","52","Indiana","7","DraftKings","45.5","-34","Michigan -34","-34","49.5","",""
"401520321","Michigan","52","Indiana","7","Bovada","45.5","-33.5","Michigan -33.5","-34.0","49.5","",""
"401540264","Portland State","10","Montana","34","ESPN Bet","58.5","10.5","Montana -10.5","","","",""
"401540114","Alabama A&M","30","Mississippi Valley State","21","ESPN Bet","47.5","-14","Alabama A&M -14","","","",""
"401540199","Mercer","17","North Alabama","7","William Hill (New Jersey)","58.5","-23.5","Mercer -23.5","","","",""
"401540437","Southeastern Louisiana","16","Nicholls","21","ESPN Bet","58.5","-2.5","Southeastern Louisiana -2.5","","","",""
"401540077","Lehigh","21","Lafayette","49","ESPN Bet","44.5","10.5","Lafayette -10.5","","","",""
"401540345","Yale","23","Harvard","18","ESPN Bet","54.5","-3","Yale -3","","","",""
"401540483","Robert Morris","14","Eastern Illinois","28","ESPN Bet","43.5","10.5","Eastern Illinois -10.5","","","",""
"401540520","Butler","9","Drake","13","ESPN Bet","42.5","-5.5","Butler -5.5","","","",""
"401540604","Wofford","19","Furman","13","ESPN Bet","42.5","20","Furman -20","","","",""
"401540212","Utah Tech","16","Southern Utah","24","ESPN Bet","62.5","12","Southern Utah -12","","","",""
"401540159","Grambling","22","Southern","27","ESPN Bet","49.5","-1.5","Grambling -1.5","","","",""
"401540078","Lehigh","10","Villanova","38","William Hill (New Jersey)","50.5","19","Villanova -19","","","",""
"401540311","Campbell","24","William & Mary","34","William Hill (New Jersey)","54.5","17.5","William & Mary -17.5","","","",""
